location,date,total_tests,total_cases,total_deaths,recovered,icu_patients,vent_patients
Malaysia,1/23/2020,,,,0,,
Malaysia,1/24/2020,,,,0,,
Malaysia,1/25/2020,,3,,3,,
Malaysia,1/26/2020,,4,,4,,
Malaysia,1/27/2020,,4,,4,,
Malaysia,1/28/2020,,4,,4,,
Malaysia,1/29/2020,,7,,7,,
Malaysia,1/30/2020,,8,,8,,
Malaysia,1/31/2020,,8,,8,,
Malaysia,2/1/2020,,8,,8,,
Malaysia,2/2/2020,,8,,8,,
Malaysia,2/3/2020,,8,,8,,
Malaysia,2/4/2020,,10,,10,,
Malaysia,2/5/2020,,12,,12,,
Malaysia,2/6/2020,,12,,12,,
Malaysia,2/7/2020,,12,,12,,
Malaysia,2/8/2020,,16,,16,,
Malaysia,2/9/2020,,16,,16,,
Malaysia,2/10/2020,,18,,18,,
Malaysia,2/11/2020,,18,,18,,
Malaysia,2/12/2020,,18,,18,,
Malaysia,2/13/2020,,19,,19,,
Malaysia,2/14/2020,653,19,,19,,
Malaysia,2/15/2020,,22,,22,,
Malaysia,2/16/2020,656,22,,22,,
Malaysia,2/17/2020,757,22,,22,,
Malaysia,2/18/2020,797,22,,22,,
Malaysia,2/19/2020,,22,,22,,
Malaysia,2/20/2020,880,22,,22,,
Malaysia,2/21/2020,968,22,,22,,
Malaysia,2/22/2020,,22,,22,,
Malaysia,2/23/2020,1028,22,,22,,
Malaysia,2/24/2020,1054,22,,22,,
Malaysia,2/25/2020,1067,22,,22,,
Malaysia,2/26/2020,1091,22,,22,,
Malaysia,2/27/2020,1545,23,,23,,
Malaysia,2/28/2020,1548,23,,23,,
Malaysia,2/29/2020,,25,,25,,
Malaysia,3/1/2020,,29,,29,,
Malaysia,3/2/2020,1739,29,,29,,
Malaysia,3/3/2020,,36,,35,,
Malaysia,3/4/2020,1983,50,,48,,
Malaysia,3/5/2020,,50,,48,,
Malaysia,3/6/2020,,83,,76,,
Malaysia,3/7/2020,,93,,85,,
Malaysia,3/8/2020,,99,,91,,
Malaysia,3/9/2020,2686,117,,106,,
Malaysia,3/10/2020,,129,,120,,
Malaysia,3/11/2020,3573,149,,140,,
Malaysia,3/12/2020,3691,149,,140,,
Malaysia,3/13/2020,,197,,186,,
Malaysia,3/14/2020,4899,238,,224,,
Malaysia,3/15/2020,,428,,381,,
Malaysia,3/16/2020,,566,,494,,
Malaysia,3/17/2020,6842,673,2,574,,
Malaysia,3/18/2020,,790,2,672,,
Malaysia,3/19/2020,8873,900,2,770,,
Malaysia,3/20/2020,10143,1030,3,883,,
Malaysia,3/21/2020,,1183,4,990,,
Malaysia,3/22/2020,11275,1306,10,1106,,
Malaysia,3/23/2020,13110,1518,14,1309,,
Malaysia,3/24/2020,13594,1624,16,1395,,
Malaysia,3/25/2020,15820,1796,20,1570,,
Malaysia,3/26/2020,16983,2031,23,1749,,
Malaysia,3/27/2020,24168,2161,26,1986,,
Malaysia,3/28/2020,29461,2320,27,2178,,
Malaysia,3/29/2020,,2470,35,2319,,
Malaysia,3/30/2020,31206,2626,37,2466,,
Malaysia,3/31/2020,32264,2766,43,2597,,
Malaysia,4/1/2020,35802,2908,45,2745,,
Malaysia,4/2/2020,37599,3116,50,2951,,
Malaysia,4/3/2020,39458,3333,53,3076,,
Malaysia,4/4/2020,40923,3483,57,3131,,
Malaysia,4/5/2020,43539,3662,61,3332,,
Malaysia,4/6/2020,47457,3793,62,3520,,
Malaysia,4/7/2020,52485,3963,63,3729,,
Malaysia,4/8/2020,58240,4119,65,3897,,
Malaysia,4/9/2020,63367,4228,67,4046,,
Malaysia,4/10/2020,67951,4346,70,4190,,
Malaysia,4/11/2020,71897,4530,73,4376,,
Malaysia,4/12/2020,77491,4683,76,4543,,
Malaysia,4/13/2020,81730,4817,77,4672,,
Malaysia,4/14/2020,84791,4987,82,4827,,
Malaysia,4/15/2020,87183,5072,83,4905,,
Malaysia,4/16/2020,,5182,84,5011,,
Malaysia,4/17/2020,96695,5251,86,5088,,
Malaysia,4/18/2020,100794,5305,88,5162,,
Malaysia,4/19/2020,103892,5389,89,5243,,
Malaysia,4/20/2020,108216,5425,89,5300,,
Malaysia,4/21/2020,,5482,92,5378,,
Malaysia,4/22/2020,113755,5532,93,5438,,
Malaysia,4/23/2020,117406,5603,95,5508,,
Malaysia,4/24/2020,121722,5691,96,5589,,
Malaysia,4/25/2020,126970,5742,98,5644,,
Malaysia,4/26/2020,131491,5780,98,5699,,
Malaysia,4/27/2020,138898,5820,99,5744,,
Malaysia,4/28/2020,146799,5851,100,5792,,
Malaysia,4/29/2020,154203,5945,100,5886,,
Malaysia,4/30/2020,,6002,102,5948,,
Malaysia,5/1/2020,168784,6071,103,6022,,
Malaysia,5/2/2020,184213,6176,103,6127,,
Malaysia,5/3/2020,195833,6298,105,6248,,
Malaysia,5/4/2020,205598,6353,105,6302,,
Malaysia,5/5/2020,213220,6383,106,6332,,
Malaysia,5/6/2020,222150,6428,107,6383,,
Malaysia,5/7/2020,231019,6467,107,6422,,
Malaysia,5/8/2020,239628,6535,107,6489,,
Malaysia,5/9/2020,,6589,108,6549,,
Malaysia,5/10/2020,256937,6656,108,6616,,
Malaysia,5/11/2020,266048,6726,109,6686,,
Malaysia,5/12/2020,,6742,109,6702,,
Malaysia,5/13/2020,,6779,111,6745,,
Malaysia,5/14/2020,297342,6819,112,6785,,
Malaysia,5/15/2020,424306,6855,112,6841,,
Malaysia,5/16/2020,434136,6872,113,6858,,
Malaysia,5/17/2020,443263,6894,113,6887,,
Malaysia,5/18/2020,,6941,113,6934,,
Malaysia,5/19/2020,462257,6978,114,6971,,
Malaysia,5/20/2020,471318,7009,114,7002,,
Malaysia,5/21/2020,481411,7059,114,7052,,
Malaysia,5/22/2020,491729,7137,115,7108,,
Malaysia,5/23/2020,500469,7185,115,7149,,
Malaysia,5/24/2020,507682,7245,115,7209,,
Malaysia,5/25/2020,513370,7417,115,7358,,
Malaysia,5/26/2020,519944,7604,115,7520,,
Malaysia,5/27/2020,,7619,115,7535,,
Malaysia,5/28/2020,530501,7629,115,7537,,
Malaysia,5/29/2020,537894,7732,115,7631,,
Malaysia,5/30/2020,546368,7762,115,7661,,
Malaysia,5/31/2020,553183,7819,115,7717,,
Malaysia,6/1/2020,560738,7857,115,7786,,
Malaysia,6/2/2020,567287,7877,115,7830,,
Malaysia,6/3/2020,575505,7970,115,7914,,
Malaysia,6/4/2020,582486,8247,115,8148,,
Malaysia,6/5/2020,590613,8266,116,8183,,
Malaysia,6/6/2020,599454,8303,117,8220,,
Malaysia,6/7/2020,,8322,117,8247,,
Malaysia,6/8/2020,614239,8329,117,8254,,
Malaysia,6/9/2020,620320,8336,117,8261,,
Malaysia,6/10/2020,625775,8338,118,8280,,
Malaysia,6/11/2020,631608,8369,118,8352,,
Malaysia,6/12/2020,640680,8402,119,8377,,
Malaysia,6/13/2020,646055,8445,120,8420,,
Malaysia,6/14/2020,651344,8453,121,8428,,
Malaysia,6/15/2020,656210,8494,121,8460,,
Malaysia,6/16/2020,659632,8505,121,8471,,
Malaysia,6/17/2020,664334,8515,121,8472,,
Malaysia,6/18/2020,669589,8529,121,8495,,
Malaysia,6/19/2020,674551,8535,121,8501,,
Malaysia,6/20/2020,679826,8556,121,8530,,
Malaysia,6/21/2020,683968,8572,121,8538,,
Malaysia,6/22/2020,686905,8587,121,8561,,
Malaysia,6/23/2020,693603,8590,121,8564,,
Malaysia,6/24/2020,704336,8596,121,8579,,
Malaysia,6/25/2020,716178,8600,121,8583,,
Malaysia,6/26/2020,729116,8606,121,8597,,
Malaysia,6/27/2020,739458,8616,121,8607,,
Malaysia,6/28/2020,749950,8634,121,8625,,
Malaysia,6/29/2020,756171,8637,121,8628,,
Malaysia,6/30/2020,764999,8639,121,8630,,
Malaysia,7/1/2020,773911,8640,121,8631,,
Malaysia,7/2/2020,782638,8643,121,8634,,
Malaysia,7/3/2020,790859,8648,121,8639,,
Malaysia,7/4/2020,797796,8658,121,8649,,
Malaysia,7/5/2020,804518,8663,121,8654,,
Malaysia,7/6/2020,810057,8668,121,8659,,
Malaysia,7/7/2020,816118,8674,121,8665,,
Malaysia,7/8/2020,822646,8677,121,8668,,
Malaysia,7/9/2020,829988,8683,121,8674,,
Malaysia,7/10/2020,836255,8696,121,8687,,
Malaysia,7/11/2020,842476,8704,122,8695,,
Malaysia,7/12/2020,847510,8718,122,8709,,
Malaysia,7/13/2020,850423,8725,122,8716,,
Malaysia,7/14/2020,855119,8729,122,8720,,
Malaysia,7/15/2020,861896,8734,122,8725,,
Malaysia,7/16/2020,868394,8737,122,8728,,
Malaysia,7/17/2020,876222,8755,122,8746,,
Malaysia,7/18/2020,884170,8764,122,8755,,
Malaysia,7/19/2020,889744,8779,123,8770,,
Malaysia,7/20/2020,895758,8800,123,8782,,
Malaysia,7/21/2020,902439,8815,123,8797,,
Malaysia,7/22/2020,909627,8831,123,8813,,
Malaysia,7/23/2020,916340,8840,123,8822,,
Malaysia,7/24/2020,925188,8861,123,8843,,
Malaysia,7/25/2020,932397,8884,123,8866,,
Malaysia,7/26/2020,937645,8897,124,8879,,
Malaysia,7/27/2020,943244,8904,124,8886,,
Malaysia,7/28/2020,949141,8943,124,8916,,
Malaysia,7/29/2020,955133,8956,124,8929,,
Malaysia,7/30/2020,963079,8964,124,8937,,
